id_estabelecimento;Utilizador;nome_estabelecimento;desc_ambiente;rating_medio_estabelecimento;telefone;visual_estabelecimento;longitude;latitude;rua;localidade;cod_postal
1;suscipit.est.ac@vestibulumMaurismagna.net;Pede Praesent Associates;Lorem ipsum dolor sit amet, consectetuer adipiscing;3;946228396;1608;-21.13696;-21.81513;8362 Augue Road;BiercŽe;9258
2;Cras.eu@mollisnoncursus.co.uk;Phasellus Fermentum Company;Lorem ipsum dolor sit amet, consectetuer;4;981022428;2048;-140.12528;4.30242;9029 Malesuada Avenue;Colli a Volturno;99-825
3;luctus.ipsum@posuereenim.org;Integer Institute;Lorem ipsum dolor;4;925242442;3727;173.72044;-32.35776;Ap #951-4750 Molestie Avenue;MŽlin;11950
4;nisi.dictum@eu.net;Nec Metus Foundation;Lorem ipsum dolor sit amet, consectetuer adipiscing;2;945684476;3184;-75.39572;-81.71596;P.O. Box 759, 6487 Magna. Av.;Kallo;76-461
5;Etiam@metus.com;Placerat Cras LLC;Lorem ipsum dolor sit amet, consectetuer;2;968799172;3993;-22.06486;66.98606;P.O. Box 958, 940 Adipiscing Rd.;Lac La Biche County;309011
6;cursus.in.hendrerit@FuscemollisDuis.net;A Ultricies Adipiscing Incorporated;Lorem ipsum dolor sit amet,;4;931691737;2089;88.72441;-36.64308;905-2680 Magna. Street;Corswarem;6798
7;consectetuer.adipiscing.elit@primis.edu;Quisque Limited;Lorem ipsum dolor;3;982792516;2665;21.17831;55.17214;2695 Metus. Rd.;Placanica;22320
8;erat@euenimEtiam.co.uk;Elit Company;Lorem ipsum dolor sit amet, consectetuer adipiscing;2;996900507;4997;-74.38532;72.33773;7339 Arcu Avenue;Raiganj;11425
9;aliquam@Nunc.org;Scelerisque Corp.;Lorem ipsum dolor sit amet, consectetuer adipiscing elit.;5;982326521;4913;-145.64317;64.78751;Ap #145-3030 Et Av.;Upper Hutt;8728
10;aliquet@mollisnoncursus.edu;Et Incorporated;Lorem ipsum dolor sit amet,;4;982674705;4059;70.42161;-2.46944;3015 Et Avenue;Belgaum;299506
11;Donec@turpisNullaaliquet.org;Arcu Imperdiet Associates;Lorem ipsum dolor;3;955975283;58;-60.31623;24.17548;Ap #257-4307 Convallis Street;Des Moines;96841
12;semper@Integertincidunt.net;Sed Consequat Auctor Corporation;Lorem;3;923878969;1361;32.45965;-56.83601;706-2175 Eget Street;Warwick;99966-913
13;Fusce@purus.ca;Odio Nam Interdum LLC;Lorem ipsum dolor sit amet, consectetuer adipiscing elit.;3;928585042;3611;20.41264;72.99377;424-7506 Mi Rd.;Sant'Onofrio;KI86 5XJ
14;erat.volutpat.Nulla@dui.edu;Mauris PC;Lorem ipsum dolor sit amet,;4;912140915;3451;-49.71967;79.34115;2003 Integer Rd.;Caxias do Sul;343
15;Quisque@tempor.net;Amet Risus Institute;Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur;3;926999670;4531;-121.77973;81.43938;P.O. Box 603, 7703 Tristique Ave;Balurghat;23291
16;ante@atnisiCum.edu;Iaculis Foundation;Lorem ipsum dolor;5;960936726;1550;48.91131;-10.7949;903-5322 Mauris Rd.;Werder;57857-983
17;massa@Integereulacus.ca;Praesent Luctus Curabitur Ltd;Lorem ipsum dolor;3;974805404;2810;-163.6558;-45.76492;Ap #207-4045 A, Rd.;Mattersburg;9791
18;Proin@blandit.com;Dolor Elit Pellentesque Associates;Lorem ipsum dolor;3;979257284;1396;-1.82209;-29.59476;5342 Sem. Avenue;Knokke-Heist;33609
19;fringilla.mi@Nullamvelit.ca;Amet Risus Ltd;Lorem ipsum dolor sit;3;983863937;1925;177.18449;-14.55644;4966 In Ave;San Lorenzo;79638-280
20;malesuada.vel@blanditNamnulla.edu;Etiam Laoreet LLP;Lorem;5;998519720;4020;56.59503;81.70579;2690 Nec Avenue;Wokingham;2821
21;Phasellus.vitae@nonhendrerit.ca;Auctor Odio Foundation;Lorem ipsum dolor sit amet, consectetuer adipiscing elit.;3;967887581;3245;-106.96189;-52.23093;Ap #910-5941 Turpis Rd.;Gualdo Cattaneo;7480BD
22;lobortis.mauris.Suspendisse@antelectus.com;Cum Sociis Corp.;Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed;2;939596573;1709;51.05109;71.37118;P.O. Box 566, 188 Arcu. St.;Glendon;27115
23;rhoncus.Nullam@rutrumurna.co.uk;Nulla Vulputate Dui Company;Lorem ipsum dolor sit amet,;2;946447597;4566;163.16454;-4.6824;Ap #463-5090 Cras St.;Alviano;8777
24;purus@sitametorci.com;Sem PC;Lorem ipsum dolor sit amet, consectetuer;5;974841594;4280;3.79072;-66.60677;Ap #593-371 A Rd.;Montignies-Saint-Christophe;17917
25;sem.molestie.sodales@nasceturridiculus.org;Vulputate Ullamcorper Magna Associates;Lorem ipsum dolor sit amet, consectetuer adipiscing elit.;5;918361832;3070;170.24748;2.85787;Ap #632-3857 Eu Avenue;Marbais;25483
26;aliquam@purusgravidasagittis.co.uk;Mollis Dui LLC;Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed;2;943798570;1930;165.58278;-13.06489;P.O. Box 615, 3294 Cubilia St.;Westlock;R7V 0G1
27;lacus@gravida.com;Eros Turpis Corporation;Lorem ipsum dolor;4;960141806;800;101.65377;-11.43399;P.O. Box 318, 9698 Non, Rd.;Istres;4004
28;Curabitur.vel.lectus@ut.net;Adipiscing Fringilla Ltd;Lorem ipsum dolor;4;982565503;2694;-111.3601;-9.12133;440-6639 Malesuada. St.;Courcelles;655976
29;per.inceptos@Cras.edu;Eget Ltd;Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed;5;994350715;1004;120.34802;29.41334;P.O. Box 817, 8529 Ac St.;Leersum;10402
30;nonummy@congueInscelerisque.com;Vitae Velit Associates;Lorem ipsum dolor sit amet, consectetuer adipiscing;3;917382640;3757;-170.80896;0.70817;P.O. Box 491, 1215 Netus Av.;Tucapel;988398
31;mauris.erat.eget@nisi.co.uk;Amet Consulting;Lorem ipsum;2;957388095;3030;146.30577;-7.45196;957-5276 Sagittis. Avenue;San Massimo;3344
32;luctus@aliquam.co.uk;Posuere Vulputate Limited;Lorem ipsum dolor sit amet, consectetuer adipiscing;5;971984597;590;54.58638;30.74259;Ap #257-5158 Cursus Avenue;Beverley;2370
33;ridiculus.mus.Donec@magnaCras.edu;Nec Euismod In Ltd;Lorem ipsum dolor sit amet,;4;934187375;2963;73.80376;51.81746;P.O. Box 624, 3404 Adipiscing. St.;San Joaquín;27833
34;bibendum@posuere.co.uk;Erat Neque Limited;Lorem ipsum dolor sit amet, consectetuer adipiscing;4;919908820;3757;-21.07034;8.10843;136-7957 Elit, St.;Sesto Campano;7262
35;natoque.penatibus.et@Aenean.co.uk;Pharetra Ut Consulting;Lorem;4;943689478;1288;-72.51894;72.51098;P.O. Box 596, 128 Elit. Road;MŽlin;6810
36;nibh.Phasellus@Curabiturvel.org;Turpis Incorporated;Lorem ipsum dolor sit;5;960828286;4145;96.31358;4.90073;2259 Ridiculus Ave;Bangor;25185
37;magna.sed.dui@convallis.co.uk;Consequat Company;Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur;2;926182815;4944;119.08882;0.01363;Ap #792-6800 Tincidunt St.;Jhang;4070
38;erat@tristique.net;Sagittis Incorporated;Lorem ipsum dolor sit amet, consectetuer adipiscing elit.;3;911064112;3441;111.41246;53.4267;646-4112 Nullam Ave;Marbais;371245
